Year,Month,DayofWeek,HourRange,CountofCollisions,NoofFatalities,CountofInjuryCollsn,CountOfPedestrianCollsn,CountofFatalityCollsn
2014,February,Friday,Early Afternoon,174,0,20,5,0
2014,February,Friday,Early Morning,4,0,0,0,0
2014,February,Friday,Evening,122,0,19,4,0
2014,February,Friday,Late Afternoon,215,0,20,4,0
2014,February,Friday,Late Night,15,0,3,1,0
2014,February,Friday,Mid Morning,161,0,13,7,0
2014,February,Friday,Morning Rush,130,0,19,8,0
2014,February,Friday,Night,59,0,13,3,0
2014,February,Monday,Early Afternoon,132,0,18,2,0
2014,February,Monday,Early Morning,5,0,0,0,0
2014,February,Monday,Evening,105,0,9,4,0
2014,February,Monday,Late Afternoon,145,0,18,7,0
2014,February,Monday,Late Night,12,0,1,0,0
2014,February,Monday,Mid Morning,143,0,16,5,0
2014,February,Monday,Morning Rush,125,0,9,1,0
2014,February,Monday,Night,19,0,4,1,0
2014,February,Saturday,Early Afternoon,302,0,35,8,0
2014,February,Saturday,Early Morning,19,0,7,0,0
2014,February,Saturday,Evening,118,0,18,7,0
2014,February,Saturday,Late Afternoon,218,0,20,4,0
2014,February,Saturday,Late Night,25,0,7,3,0
2014,February,Saturday,Mid Morning,117,0,10,1,0
2014,February,Saturday,Morning Rush,25,0,2,1,0
2014,February,Saturday,Night,48,0,7,0,0
2014,February,Sunday,Early Afternoon,157,0,18,6,0
2014,February,Sunday,Early Morning,15,0,3,0,0
2014,February,Sunday,Evening,63,0,5,2,0
2014,February,Sunday,Late Afternoon,129,0,19,1,0
2014,February,Sunday,Late Night,32,0,4,0,0
2014,February,Sunday,Mid Morning,85,0,8,1,0
2014,February,Sunday,Morning Rush,17,0,3,1,0
2014,February,Sunday,Night,36,0,10,0,0
2014,February,Thursday,Early Afternoon,133,0,14,5,0
2014,February,Thursday,Early Morning,7,0,0,0,0
2014,February,Thursday,Evening,184,0,11,2,0
2014,February,Thursday,Late Afternoon,306,0,21,2,0
2014,February,Thursday,Late Night,12,0,0,0,0
2014,February,Thursday,Mid Morning,155,0,15,2,0
2014,February,Thursday,Morning Rush,140,0,11,2,0
2014,February,Thursday,Night,48,0,5,2,0
2014,February,Tuesday,Early Afternoon,143,0,11,4,0
2014,February,Tuesday,Early Morning,8,0,1,0,0
2014,February,Tuesday,Evening,103,0,13,2,0
2014,February,Tuesday,Late Afternoon,197,0,26,5,0
2014,February,Tuesday,Late Night,19,0,4,1,0
2014,February,Tuesday,Mid Morning,166,0,18,4,0
2014,February,Tuesday,Morning Rush,160,0,11,2,0
2014,February,Tuesday,Night,31,0,5,1,0
2014,February,Wednesday,Early Afternoon,164,0,19,4,0
2014,February,Wednesday,Early Morning,10,0,0,0,0
2014,February,Wednesday,Evening,115,1,10,5,1
2014,February,Wednesday,Late Afternoon,225,1,18,3,1
2014,February,Wednesday,Late Night,10,1,0,1,1
2014,February,Wednesday,Mid Morning,244,0,22,4,0
2014,February,Wednesday,Morning Rush,205,0,25,3,0
2014,February,Wednesday,Night,34,0,9,2,0
2014,January,Friday,Early Afternoon,209,0,21,6,0
2014,January,Friday,Early Morning,14,0,1,0,0
2014,January,Friday,Evening,189,0,26,5,0
2014,January,Friday,Late Afternoon,236,0,26,8,0
2014,January,Friday,Late Night,20,0,5,1,0
2014,January,Friday,Mid Morning,231,0,29,6,0
2014,January,Friday,Morning Rush,202,0,32,3,0
2014,January,Friday,Night,45,0,8,3,0
2014,January,Monday,Early Afternoon,132,0,11,2,0
2014,January,Monday,Early Morning,18,0,4,0,0
2014,January,Monday,Evening,95,0,17,6,0
2014,January,Monday,Late Afternoon,189,0,21,5,0
2014,January,Monday,Late Night,17,0,0,0,0
2014,January,Monday,Mid Morning,207,0,17,3,0
2014,January,Monday,Morning Rush,166,0,19,3,0
2014,January,Monday,Night,36,0,5,0,0
2014,January,Saturday,Early Afternoon,168,0,19,2,0
2014,January,Saturday,Early Morning,16,0,2,0,0
2014,January,Saturday,Evening,82,0,19,6,0
2014,January,Saturday,Late Afternoon,123,0,14,4,0
2014,January,Saturday,Late Night,32,0,3,2,0
2014,January,Saturday,Mid Morning,125,0,9,1,0
2014,January,Saturday,Morning Rush,48,0,6,0,0
2014,January,Saturday,Night,57,0,6,1,0
2014,January,Sunday,Early Afternoon,118,1,6,1,1
2014,January,Sunday,Early Morning,18,0,2,0,0
2014,January,Sunday,Evening,94,0,14,2,0
2014,January,Sunday,Late Afternoon,110,0,14,4,0
2014,January,Sunday,Late Night,24,0,2,0,0
2014,January,Sunday,Mid Morning,56,0,8,2,0
2014,January,Sunday,Morning Rush,9,0,0,0,0
2014,January,Sunday,Night,30,1,4,1,1
2014,January,Thursday,Early Afternoon,202,0,15,3,0
2014,January,Thursday,Early Morning,9,0,1,0,0
2014,January,Thursday,Evening,145,0,18,6,0
2014,January,Thursday,Late Afternoon,259,0,24,4,0
2014,January,Thursday,Late Night,13,0,2,0,0
2014,January,Thursday,Mid Morning,238,0,27,8,0
2014,January,Thursday,Morning Rush,155,0,21,2,0
2014,January,Thursday,Night,30,0,1,1,0
2014,January,Tuesday,Early Afternoon,154,0,16,7,0
2014,January,Tuesday,Early Morning,9,0,1,1,0
2014,January,Tuesday,Evening,135,0,18,5,0
2014,January,Tuesday,Late Afternoon,237,0,19,5,0
2014,January,Tuesday,Late Night,20,0,1,0,0
2014,January,Tuesday,Mid Morning,191,0,14,2,0
2014,January,Tuesday,Morning Rush,197,0,23,5,0
2014,January,Tuesday,Night,44,0,6,0,0
2014,January,Wednesday,Early Afternoon,166,0,18,9,0
2014,January,Wednesday,Early Morning,16,0,3,0,0
2014,January,Wednesday,Evening,154,0,16,6,0
2014,January,Wednesday,Late Afternoon,216,0,27,4,0
2014,January,Wednesday,Late Night,19,0,4,0,0
2014,January,Wednesday,Mid Morning,202,0,23,4,0
2014,January,Wednesday,Morning Rush,174,0,21,4,0
2014,January,Wednesday,Night,37,0,6,0,0
2014,July,Friday,Early Afternoon,172,0,18,7,0
2014,July,Friday,Early Morning,6,0,1,0,0
2014,July,Friday,Evening,135,0,21,2,0
2014,July,Friday,Late Afternoon,204,0,20,2,0
2014,July,Friday,Late Night,18,0,2,0,0
2014,July,Friday,Mid Morning,133,0,17,1,0
2014,July,Friday,Morning Rush,92,0,14,2,0
2014,July,Friday,Night,55,0,14,2,0
2014,July,Monday,Early Afternoon,134,1,20,4,1
2014,July,Monday,Early Morning,19,1,6,1,1
2014,July,Monday,Evening,100,0,15,1,0
2014,July,Monday,Late Afternoon,160,0,15,5,0
2014,July,Monday,Late Night,22,0,3,1,0
2014,July,Monday,Mid Morning,119,0,17,2,0
2014,July,Monday,Morning Rush,78,0,10,2,0
2014,July,Monday,Night,33,0,4,0,0
2014,July,Saturday,Early Afternoon,127,0,12,2,0
2014,July,Saturday,Early Morning,11,0,4,0,0
2014,July,Saturday,Evening,103,0,14,3,0
2014,July,Saturday,Late Afternoon,129,0,15,3,0
2014,July,Saturday,Late Night,27,0,4,2,0
2014,July,Saturday,Mid Morning,79,0,11,1,0
2014,July,Saturday,Morning Rush,23,0,6,1,0
2014,July,Saturday,Night,65,0,9,2,0
2014,July,Sunday,Early Afternoon,104,0,21,5,0
2014,July,Sunday,Early Morning,9,0,2,1,0
2014,July,Sunday,Evening,61,0,7,2,0
2014,July,Sunday,Late Afternoon,98,0,18,4,0
2014,July,Sunday,Late Night,33,0,8,2,0
2014,July,Sunday,Mid Morning,60,0,10,1,0
2014,July,Sunday,Morning Rush,17,0,4,0,0
2014,July,Sunday,Night,44,0,4,2,0
2014,July,Thursday,Early Afternoon,174,0,23,4,0
2014,July,Thursday,Early Morning,7,0,1,0,0
2014,July,Thursday,Evening,159,1,21,3,1
2014,July,Thursday,Late Afternoon,238,0,41,3,0
2014,July,Thursday,Late Night,10,0,3,1,0
2014,July,Thursday,Mid Morning,163,0,17,4,0
2014,July,Thursday,Morning Rush,104,0,17,0,0
2014,July,Thursday,Night,62,0,10,2,0
2014,July,Tuesday,Early Afternoon,176,0,21,3,0
2014,July,Tuesday,Early Morning,9,0,0,0,0
2014,July,Tuesday,Evening,123,0,20,1,0
2014,July,Tuesday,Late Afternoon,216,0,33,6,0
2014,July,Tuesday,Late Night,24,0,2,1,0
2014,July,Tuesday,Mid Morning,127,1,22,3,1
2014,July,Tuesday,Morning Rush,85,0,17,2,0
2014,July,Tuesday,Night,41,0,9,1,0
2014,July,Wednesday,Early Afternoon,188,0,29,2,0
2014,July,Wednesday,Early Morning,7,0,1,1,0
2014,July,Wednesday,Evening,131,0,16,2,0
2014,July,Wednesday,Late Afternoon,235,1,34,5,1
2014,July,Wednesday,Late Night,14,0,2,0,0
2014,July,Wednesday,Mid Morning,154,0,23,3,0
2014,July,Wednesday,Morning Rush,99,0,12,2,0
2014,July,Wednesday,Night,53,0,12,1,0
2014,June,Friday,Early Afternoon,183,0,20,0,0
2014,June,Friday,Early Morning,11,0,3,0,0
2014,June,Friday,Evening,119,0,21,2,0
2014,June,Friday,Late Afternoon,237,0,31,2,0
2014,June,Friday,Late Night,13,0,2,0,0
2014,June,Friday,Mid Morning,128,0,17,4,0
2014,June,Friday,Morning Rush,111,0,9,1,0
2014,June,Friday,Night,62,0,13,3,0
2014,June,Monday,Early Afternoon,187,0,25,7,0
2014,June,Monday,Early Morning,3,0,0,0,0
2014,June,Monday,Evening,120,0,11,2,0
2014,June,Monday,Late Afternoon,238,0,25,4,0
2014,June,Monday,Late Night,13,0,0,1,0
2014,June,Monday,Mid Morning,165,0,17,3,0
2014,June,Monday,Morning Rush,93,1,17,5,1
2014,June,Monday,Night,44,0,4,1,0
2014,June,Saturday,Early Afternoon,140,0,23,2,0
2014,June,Saturday,Early Morning,9,0,1,1,0
2014,June,Saturday,Evening,97,0,18,2,0
2014,June,Saturday,Late Afternoon,142,0,25,4,0
2014,June,Saturday,Late Night,29,0,8,3,0
2014,June,Saturday,Mid Morning,78,0,9,3,0
2014,June,Saturday,Morning Rush,25,0,7,1,0
2014,June,Saturday,Night,62,0,8,1,0
2014,June,Sunday,Early Afternoon,163,0,20,3,0
2014,June,Sunday,Early Morning,25,0,6,0,0
2014,June,Sunday,Evening,98,0,13,5,0
2014,June,Sunday,Late Afternoon,170,0,23,5,0
2014,June,Sunday,Late Night,40,0,8,0,0
2014,June,Sunday,Mid Morning,96,0,13,3,0
2014,June,Sunday,Morning Rush,19,0,5,0,0
2014,June,Sunday,Night,55,0,10,2,0
2014,June,Thursday,Early Afternoon,149,0,15,3,0
2014,June,Thursday,Early Morning,2,0,0,0,0
2014,June,Thursday,Evening,123,0,18,5,0
2014,June,Thursday,Late Afternoon,218,0,23,4,0
2014,June,Thursday,Late Night,19,0,1,0,0
2014,June,Thursday,Mid Morning,151,0,18,3,0
2014,June,Thursday,Morning Rush,107,0,21,6,0
2014,June,Thursday,Night,45,0,11,2,0
2014,June,Tuesday,Early Afternoon,154,1,20,5,1
2014,June,Tuesday,Early Morning,9,0,3,0,0
2014,June,Tuesday,Evening,131,0,24,7,0
2014,June,Tuesday,Late Afternoon,222,0,28,4,0
2014,June,Tuesday,Late Night,16,0,2,1,0
2014,June,Tuesday,Mid Morning,138,0,22,5,0
2014,June,Tuesday,Morning Rush,101,0,8,4,0
2014,June,Tuesday,Night,44,0,7,2,0
2014,June,Wednesday,Early Afternoon,154,0,17,0,0
2014,June,Wednesday,Early Morning,6,0,1,0,0
2014,June,Wednesday,Evening,126,0,14,2,0
2014,June,Wednesday,Late Afternoon,197,0,23,5,0
2014,June,Wednesday,Late Night,11,0,3,1,0
2014,June,Wednesday,Mid Morning,138,0,17,7,0
2014,June,Wednesday,Morning Rush,94,0,11,2,0
2014,June,Wednesday,Night,57,0,14,4,0
2014,March,Friday,Early Afternoon,161,0,14,3,0
2014,March,Friday,Early Morning,2,0,0,0,0
2014,March,Friday,Evening,99,0,15,4,0
2014,March,Friday,Late Afternoon,223,0,27,5,0
2014,March,Friday,Late Night,11,0,2,0,0
2014,March,Friday,Mid Morning,116,0,9,4,0
2014,March,Friday,Morning Rush,89,0,21,2,0
2014,March,Friday,Night,44,0,12,3,0
2014,March,Monday,Early Afternoon,145,0,15,4,0
2014,March,Monday,Early Morning,7,0,1,0,0
2014,March,Monday,Evening,95,0,19,6,0
2014,March,Monday,Late Afternoon,220,0,29,3,0
2014,March,Monday,Late Night,6,0,0,0,0
2014,March,Monday,Mid Morning,163,0,19,5,0
2014,March,Monday,Morning Rush,127,0,23,7,0
2014,March,Monday,Night,40,0,5,1,0
2014,March,Saturday,Early Afternoon,177,0,16,3,0
2014,March,Saturday,Early Morning,25,0,2,0,0
2014,March,Saturday,Evening,105,0,10,1,0
2014,March,Saturday,Late Afternoon,156,0,21,3,0
2014,March,Saturday,Late Night,25,0,4,2,0
2014,March,Saturday,Mid Morning,137,0,13,1,0
2014,March,Saturday,Morning Rush,20,0,5,1,0
2014,March,Saturday,Night,107,0,11,4,0
2014,March,Sunday,Early Afternoon,151,0,12,1,0
2014,March,Sunday,Early Morning,23,0,2,0,0
2014,March,Sunday,Evening,74,0,9,3,0
2014,March,Sunday,Late Afternoon,156,0,23,7,0
2014,March,Sunday,Late Night,43,0,3,3,0
2014,March,Sunday,Mid Morning,119,0,13,3,0
2014,March,Sunday,Morning Rush,13,0,4,0,0
2014,March,Sunday,Night,34,0,6,1,0
2014,March,Thursday,Early Afternoon,138,0,12,5,0
2014,March,Thursday,Early Morning,9,0,4,0,0
2014,March,Thursday,Evening,100,0,12,7,0
2014,March,Thursday,Late Afternoon,172,0,21,2,0
2014,March,Thursday,Late Night,14,0,2,2,0
2014,March,Thursday,Mid Morning,239,0,25,7,0
2014,March,Thursday,Morning Rush,157,1,17,3,1
2014,March,Thursday,Night,46,0,8,1,0
2014,March,Tuesday,Early Afternoon,131,0,18,2,0
2014,March,Tuesday,Early Morning,2,0,2,0,0
2014,March,Tuesday,Evening,78,0,12,7,0
2014,March,Tuesday,Late Afternoon,194,0,27,2,0
