
,,,,Measures,"Number of collisions","Number of vehicles","Number of injured","Number of fatalities"
"Month","Year","Day of Week","Collision Hour","Collision Sev",
"January","2011","Tuesday","9:00 to 11:59","Fatal collisions",3,5,2,3
"January","2011","Tuesday","9:00 to 11:59","Injury collisions",240,425,301,0
"January","2011","Tuesday","12:00 to 14:59","Fatal collisions",3,5,2,4
"January","2011","Tuesday","12:00 to 14:59","Injury collisions",277,496,361,0
"January","2011","Tuesday","15:00 to 17:59","Fatal collisions",3,5,3,3
"January","2011","Tuesday","15:00 to 17:59","Injury collisions",341,629,469,0
"January","2011","Tuesday","18:00 to 20:59","Fatal collisions",2,2,0,2
"January","2011","Tuesday","18:00 to 20:59","Injury collisions",217,374,290,0
"January","2011","Tuesday","21:00 to 23:59","Fatal collisions",1,1,0,1
"January","2011","Tuesday","21:00 to 23:59","Injury collisions",107,170,143,0
"January","2011","Wednesday","Midnight to 2:59","Fatal collisions",1,2,0,1
"January","2011","Wednesday","Midnight to 2:59","Injury collisions",40,54,47,0
"January","2011","Wednesday","3:00 to 5:59","Fatal collisions",0,0,0,0
"January","2011","Wednesday","3:00 to 5:59","Injury collisions",32,49,44,0
"January","2011","Wednesday","6:00 to 8:59","Fatal collisions",6,11,8,6
"January","2011","Wednesday","6:00 to 8:59","Injury collisions",247,434,292,0
"January","2011","Wednesday","9:00 to 11:59","Fatal collisions",1,2,1,1
"January","2011","Wednesday","9:00 to 11:59","Injury collisions",255,446,332,0
"January","2011","Wednesday","12:00 to 14:59","Fatal collisions",2,4,2,2
"January","2011","Wednesday","12:00 to 14:59","Injury collisions",266,494,342,0
"January","2011","Wednesday","15:00 to 17:59","Fatal collisions",4,7,1,6
"January","2011","Wednesday","15:00 to 17:59","Injury collisions",303,563,400,0
"January","2011","Wednesday","18:00 to 20:59","Fatal collisions",2,4,1,2
"January","2011","Wednesday","18:00 to 20:59","Injury collisions",210,365,272,0
"January","2011","Wednesday","21:00 to 23:59","Fatal collisions",0,0,0,0
"January","2011","Wednesday","21:00 to 23:59","Injury collisions",99,157,138,0
"January","2011","Thursday","Midnight to 2:59","Fatal collisions",0,0,0,0
"January","2011","Thursday","Midnight to 2:59","Injury collisions",28,41,38,0
"January","2011","Thursday","3:00 to 5:59","Fatal collisions",3,5,2,3
"January","2011","Thursday","3:00 to 5:59","Injury collisions",27,39,34,0
"January","2011","Thursday","6:00 to 8:59","Fatal collisions",3,5,2,3
"January","2011","Thursday","6:00 to 8:59","Injury collisions",246,460,314,0
"January","2011","Thursday","9:00 to 11:59","Fatal collisions",0,0,0,0
"January","2011","Thursday","9:00 to 11:59","Injury collisions",219,404,279,0
"January","2011","Thursday","12:00 to 14:59","Fatal collisions",5,9,6,6
