
,,,,Measures,"Number of collisions","Number of vehicles","Number of injured","Number of fatalities"
"Month","Year","Day of Week","Collision Hour","Collision Sev",
"August","2018","Wednesday","21:00 to 23:59","Fatal collisions",2,2,1,2
"August","2018","Wednesday","21:00 to 23:59","Injury collisions",140,222,175,0
"August","2018","Thursday","Midnight to 2:59","Fatal collisions",3,5,0,3
"August","2018","Thursday","Midnight to 2:59","Injury collisions",52,75,63,0
"August","2018","Thursday","3:00 to 5:59","Fatal collisions",0,0,0,0
"August","2018","Thursday","3:00 to 5:59","Injury collisions",41,64,48,0
"August","2018","Thursday","6:00 to 8:59","Fatal collisions",3,5,1,3
"August","2018","Thursday","6:00 to 8:59","Injury collisions",151,269,178,0
"August","2018","Thursday","9:00 to 11:59","Fatal collisions",3,4,1,3
"August","2018","Thursday","9:00 to 11:59","Injury collisions",242,464,309,0
"August","2018","Thursday","12:00 to 14:59","Fatal collisions",3,6,5,3
"August","2018","Thursday","12:00 to 14:59","Injury collisions",318,592,426,0
"August","2018","Thursday","15:00 to 17:59","Fatal collisions",4,5,5,4
"August","2018","Thursday","15:00 to 17:59","Injury collisions",448,886,609,0
"August","2018","Thursday","18:00 to 20:59","Fatal collisions",5,5,0,5
"August","2018","Thursday","18:00 to 20:59","Injury collisions",197,354,267,0
"August","2018","Thursday","21:00 to 23:59","Fatal collisions",4,7,1,4
"August","2018","Thursday","21:00 to 23:59","Injury collisions",178,299,243,0
"August","2018","Friday","Midnight to 2:59","Fatal collisions",3,4,1,3
"August","2018","Friday","Midnight to 2:59","Injury collisions",48,64,63,0
"August","2018","Friday","3:00 to 5:59","Fatal collisions",2,3,2,2
"August","2018","Friday","3:00 to 5:59","Injury collisions",36,55,48,0
"August","2018","Friday","6:00 to 8:59","Fatal collisions",5,9,7,5
"August","2018","Friday","6:00 to 8:59","Injury collisions",151,276,184,0
"August","2018","Friday","9:00 to 11:59","Fatal collisions",5,13,4,5
"August","2018","Friday","9:00 to 11:59","Injury collisions",237,450,319,0
"August","2018","Friday","12:00 to 14:59","Fatal collisions",2,3,3,2
"August","2018","Friday","12:00 to 14:59","Injury collisions",395,760,542,0
"August","2018","Friday","15:00 to 17:59","Fatal collisions",7,10,3,7
"August","2018","Friday","15:00 to 17:59","Injury collisions",460,922,643,0
"August","2018","Friday","18:00 to 20:59","Fatal collisions",3,5,1,3
"August","2018","Friday","18:00 to 20:59","Injury collisions",235,431,329,0
"August","2018","Friday","21:00 to 23:59","Fatal collisions",7,12,6,7
"August","2018","Friday","21:00 to 23:59","Injury collisions",178,301,260,0
"August","2018","Saturday","Midnight to 2:59","Fatal collisions",3,5,1,3
"August","2018","Saturday","Midnight to 2:59","Injury collisions",71,103,96,0
"August","2018","Saturday","3:00 to 5:59","Fatal collisions",2,2,1,2
"August","2018","Saturday","3:00 to 5:59","Injury collisions",53,79,88,0
"August","2018","Saturday","6:00 to 8:59","Fatal collisions",3,6,9,3
"August","2018","Saturday","6:00 to 8:59","Injury collisions",62,97,90,0
"August","2018","Saturday","9:00 to 11:59","Fatal collisions",1,1,1,1
"August","2018","Saturday","9:00 to 11:59","Injury collisions",167,318,235,0
"August","2018","Saturday","12:00 to 14:59","Fatal collisions",1,2,1,1
"August","2018","Saturday","12:00 to 14:59","Injury collisions",253,472,358,0
"August","2018","Saturday","15:00 to 17:59","Fatal collisions",6,7,5,7
"August","2018","Saturday","15:00 to 17:59","Injury collisions",248,455,363,0
"August","2018","Saturday","18:00 to 20:59","Fatal collisions",1,1,0,1
"August","2018","Saturday","18:00 to 20:59","Injury collisions",140,226,202,0
"August","2018","Saturday","21:00 to 23:59","Fatal collisions",5,9,8,7
"August","2018","Saturday","21:00 to 23:59","Injury collisions",148,237,224,0
"August","2018","Sunday","Midnight to 2:59","Fatal collisions",2,3,0,2
"August","2018","Sunday","Midnight to 2:59","Injury collisions",71,107,101,0
"August","2018","Sunday","3:00 to 5:59","Fatal collisions",2,2,1,2
"August","2018","Sunday","3:00 to 5:59","Injury collisions",48,66,60,0
"August","2018","Sunday","6:00 to 8:59","Fatal collisions",0,0,0,0
"August","2018","Sunday","6:00 to 8:59","Injury collisions",67,97,89,0
"August","2018","Sunday","9:00 to 11:59","Fatal collisions",1,1,0,1
"August","2018","Sunday","9:00 to 11:59","Injury collisions",113,198,174,0
"August","2018","Sunday","12:00 to 14:59","Fatal collisions",3,4,1,3
"August","2018","Sunday","12:00 to 14:59","Injury collisions",214,384,312,0
"August","2018","Sunday","15:00 to 17:59","Fatal collisions",4,8,2,5
"August","2018","Sunday","15:00 to 17:59","Injury collisions",237,442,356,0
"August","2018","Sunday","18:00 to 20:59","Fatal collisions",4,6,6,5
"August","2018","Sunday","18:00 to 20:59","Injury collisions",138,234,214,0
"August","2018","Sunday","21:00 to 23:59","Fatal collisions",5,7,10,9
"August","2018","Sunday","21:00 to 23:59","Injury collisions",102,174,145,0
"August","2018","Unknown","Midnight to 2:59","Fatal collisions",0,0,0,0
"August","2018","Unknown","Midnight to 2:59","Injury collisions",0,0,0,0
"August","2018","Unknown","3:00 to 5:59","Fatal collisions",0,0,0,0
"August","2018","Unknown","3:00 to 5:59","Injury collisions",0,0,0,0
"August","2018","Unknown","6:00 to 8:59","Fatal collisions",0,0,0,0
"August","2018","Unknown","6:00 to 8:59","Injury collisions",0,0,0,0
"August","2018","Unknown","9:00 to 11:59","Fatal collisions",0,0,0,0
"August","2018","Unknown","9:00 to 11:59","Injury collisions",0,0,0,0
"August","2018","Unknown","12:00 to 14:59","Fatal collisions",0,0,0,0
"August","2018","Unknown","12:00 to 14:59","Injury collisions",0,0,0,0
"August","2018","Unknown","15:00 to 17:59","Fatal collisions",0,0,0,0
"August","2018","Unknown","15:00 to 17:59","Injury collisions",0,0,0,0
"August","2018","Unknown","18:00 to 20:59","Fatal collisions",0,0,0,0
"August","2018","Unknown","18:00 to 20:59","Injury collisions",0,0,0,0
"August","2018","Unknown","21:00 to 23:59","Fatal collisions",0,0,0,0
"August","2018","Unknown","21:00 to 23:59","Injury collisions",0,0,0,0
"August","2019","Total","Midnight to 2:59","Fatal collisions",9,13,4,9
"August","2019","Total","Midnight to 2:59","Injury collisions",341,498,439,0
"August","2019","Total","3:00 to 5:59","Fatal collisions",14,17,9,16
"August","2019","Total","3:00 to 5:59","Injury collisions",252,349,330,0
"August","2019","Total","6:00 to 8:59","Fatal collisions",16,27,5,16
"August","2019","Total","6:00 to 8:59","Injury collisions",904,1630,1172,0
"August","2019","Total","9:00 to 11:59","Fatal collisions",13,20,11,13
"August","2019","Total","9:00 to 11:59","Injury collisions",1302,2356,1779,0
"August","2019","Total","12:00 to 14:59","Fatal collisions",31,51,32,34
"August","2019","Total","12:00 to 14:59","Injury collisions",1852,3473,2533,0
"August","2019","Total","15:00 to 17:59","Fatal collisions",39,79,49,47
"August","2019","Total","15:00 to 17:59","Injury collisions",2346,4585,3280,0
"August","2019","Total","18:00 to 20:59","Fatal collisions",30,44,29,32
"August","2019","Total","18:00 to 20:59","Injury collisions",1263,2256,1746,0
"August","2019","Total","21:00 to 23:59","Fatal collisions",26,52,26,29
"August","2019","Total","21:00 to 23:59","Injury collisions",842,1410,1161,0
"August","2019","Monday","Midnight to 2:59","Fatal collisions",1,1,1,1
"August","2019","Monday","Midnight to 2:59","Injury collisions",46,70,65,0
"August","2019","Monday","3:00 to 5:59","Fatal collisions",3,5,1,5
"August","2019","Monday","3:00 to 5:59","Injury collisions",32,49,40,0
"August","2019","Monday","6:00 to 8:59","Fatal collisions",4,7,1,4
"August","2019","Monday","6:00 to 8:59","Injury collisions",132,247,177,0
"August","2019","Monday","9:00 to 11:59","Fatal collisions",1,2,0,1
"August","2019","Monday","9:00 to 11:59","Injury collisions",157,281,203,0
"August","2019","Monday","12:00 to 14:59","Fatal collisions",5,8,6,5
"August","2019","Monday","12:00 to 14:59","Injury collisions",204,384,291,0
"August","2019","Monday","15:00 to 17:59","Fatal collisions",5,16,10,10
"August","2019","Monday","15:00 to 17:59","Injury collisions",287,575,394,0
"August","2019","Monday","18:00 to 20:59","Fatal collisions",4,7,4,5
"August","2019","Monday","18:00 to 20:59","Injury collisions",139,245,193,0
"August","2019","Monday","21:00 to 23:59","Fatal collisions",3,5,4,4
"August","2019","Monday","21:00 to 23:59","Injury collisions",107,178,137,0
"August","2019","Tuesday","Midnight to 2:59","Fatal collisions",2,3,1,2
"August","2019","Tuesday","Midnight to 2:59","Injury collisions",27,37,37,0
"August","2019","Tuesday","3:00 to 5:59","Fatal collisions",0,0,0,0
"August","2019","Tuesday","3:00 to 5:59","Injury collisions",25,28,28,0
"August","2019","Tuesday","6:00 to 8:59","Fatal collisions",2,2,0,2
"August","2019","Tuesday","6:00 to 8:59","Injury collisions",162,296,211,0
"August","2019","Tuesday","9:00 to 11:59","Fatal collisions",0,0,0,0
"August","2019","Tuesday","9:00 to 11:59","Injury collisions",202,365,264,0
"August","2019","Tuesday","12:00 to 14:59","Fatal collisions",3,5,2,3
"August","2019","Tuesday","12:00 to 14:59","Injury collisions",248,452,333,0
"August","2019","Tuesday","15:00 to 17:59","Fatal collisions",8,21,17,10
"August","2019","Tuesday","15:00 to 17:59","Injury collisions",365,724,482,0
"August","2019","Tuesday","18:00 to 20:59","Fatal collisions",1,1,0,1
"August","2019","Tuesday","18:00 to 20:59","Injury collisions",159,290,198,0
"August","2019","Tuesday","21:00 to 23:59","Fatal collisions",0,0,0,0
"August","2019","Tuesday","21:00 to 23:59","Injury collisions",109,181,153,0
"August","2019","Wednesday","Midnight to 2:59","Fatal collisions",0,0,0,0
"August","2019","Wednesday","Midnight to 2:59","Injury collisions",34,50,43,0
"August","2019","Wednesday","3:00 to 5:59","Fatal collisions",1,1,0,1
"August","2019","Wednesday","3:00 to 5:59","Injury collisions",17,21,23,0
"August","2019","Wednesday","6:00 to 8:59","Fatal collisions",2,4,1,2
"August","2019","Wednesday","6:00 to 8:59","Injury collisions",139,256,170,0
"August","2019","Wednesday","9:00 to 11:59","Fatal collisions",2,3,0,2
"August","2019","Wednesday","9:00 to 11:59","Injury collisions",196,346,271,0
"August","2019","Wednesday","12:00 to 14:59","Fatal collisions",3,3,1,3
"August","2019","Wednesday","12:00 to 14:59","Injury collisions",235,441,298,0
"August","2019","Wednesday","15:00 to 17:59","Fatal collisions",5,10,9,5
"August","2019","Wednesday","15:00 to 17:59","Injury collisions",319,635,423,0
"August","2019","Wednesday","18:00 to 20:59","Fatal collisions",3,4,4,3
"August","2019","Wednesday","18:00 to 20:59","Injury collisions",159,285,230,0
"August","2019","Wednesday","21:00 to 23:59","Fatal collisions",3,3,1,3
"August","2019","Wednesday","21:00 to 23:59","Injury collisions",94,158,139,0
"August","2019","Thursday","Midnight to 2:59","Fatal collisions",2,3,0,2
"August","2019","Thursday","Midnight to 2:59","Injury collisions",39,56,48,0
"August","2019","Thursday","3:00 to 5:59","Fatal collisions",1,1,1,1
"August","2019","Thursday","3:00 to 5:59","Injury collisions",38,56,42,0
"August","2019","Thursday","6:00 to 8:59","Fatal collisions",1,2,1,1
"August","2019","Thursday","6:00 to 8:59","Injury collisions",177,332,229,0
"August","2019","Thursday","9:00 to 11:59","Fatal collisions",2,4,4,2
"August","2019","Thursday","9:00 to 11:59","Injury collisions",211,383,279,0
"August","2019","Thursday","12:00 to 14:59","Fatal collisions",3,7,4,3
"August","2019","Thursday","12:00 to 14:59","Injury collisions",278,515,355,0
"August","2019","Thursday","15:00 to 17:59","Fatal collisions",7,11,3,8
"August","2019","Thursday","15:00 to 17:59","Injury collisions",428,858,600,0
"August","2019","Thursday","18:00 to 20:59","Fatal collisions",6,11,3,6
"August","2019","Thursday","18:00 to 20:59","Injury collisions",253,461,335,0
"August","2019","Thursday","21:00 to 23:59","Fatal collisions",4,17,8,4
"August","2019","Thursday","21:00 to 23:59","Injury collisions",127,214,174,0
"August","2019","Friday","Midnight to 2:59","Fatal collisions",2,3,1,2
"August","2019","Friday","Midnight to 2:59","Injury collisions",51,74,60,0
"August","2019","Friday","3:00 to 5:59","Fatal collisions",3,4,3,3
"August","2019","Friday","3:00 to 5:59","Injury collisions",47,67,64,0
"August","2019","Friday","6:00 to 8:59","Fatal collisions",4,7,0,4
"August","2019","Friday","6:00 to 8:59","Injury collisions",150,276,187,0
"August","2019","Friday","9:00 to 11:59","Fatal collisions",3,5,3,3
"August","2019","Friday","9:00 to 11:59","Injury collisions",213,401,288,0
"August","2019","Friday","12:00 to 14:59","Fatal collisions",6,12,3,8
"August","2019","Friday","12:00 to 14:59","Injury collisions",361,712,507,0
"August","2019","Friday","15:00 to 17:59","Fatal collisions",7,11,3,7
"August","2019","Friday","15:00 to 17:59","Injury collisions",459,916,663,0
"August","2019","Friday","18:00 to 20:59","Fatal collisions",6,8,10,7
"August","2019","Friday","18:00 to 20:59","Injury collisions",227,403,312,0
"August","2019","Friday","21:00 to 23:59","Fatal collisions",9,14,0,9
"August","2019","Friday","21:00 to 23:59","Injury collisions",148,244,211,0
"August","2019","Saturday","Midnight to 2:59","Fatal collisions",2,3,1,2
"August","2019","Saturday","Midnight to 2:59","Injury collisions",84,126,110,0
"August","2019","Saturday","3:00 to 5:59","Fatal collisions",3,3,1,3
"August","2019","Saturday","3:00 to 5:59","Injury collisions",44,58,62,0
"August","2019","Saturday","6:00 to 8:59","Fatal collisions",1,2,2,1
"August","2019","Saturday","6:00 to 8:59","Injury collisions",81,129,119,0
"August","2019","Saturday","9:00 to 11:59","Fatal collisions",4,5,4,4
"August","2019","Saturday","9:00 to 11:59","Injury collisions",186,344,263,0
"August","2019","Saturday","12:00 to 14:59","Fatal collisions",5,7,2,6
"August","2019","Saturday","12:00 to 14:59","Injury collisions",306,552,435,0
"August","2019","Saturday","15:00 to 17:59","Fatal collisions",4,6,6,4
"August","2019","Saturday","15:00 to 17:59","Injury collisions",269,483,392,0
"August","2019","Saturday","18:00 to 20:59","Fatal collisions",6,8,4,6
"August","2019","Saturday","18:00 to 20:59","Injury collisions",172,307,256,0
"August","2019","Saturday","21:00 to 23:59","Fatal collisions",4,5,3,5
"August","2019","Saturday","21:00 to 23:59","Injury collisions",150,258,204,0
"August","2019","Sunday","Midnight to 2:59","Fatal collisions",0,0,0,0
"August","2019","Sunday","Midnight to 2:59","Injury collisions",60,85,76,0
"August","2019","Sunday","3:00 to 5:59","Fatal collisions",3,3,3,3
"August","2019","Sunday","3:00 to 5:59","Injury collisions",49,70,71,0
"August","2019","Sunday","6:00 to 8:59","Fatal collisions",2,3,0,2
"August","2019","Sunday","6:00 to 8:59","Injury collisions",63,94,79,0
"August","2019","Sunday","9:00 to 11:59","Fatal collisions",1,1,0,1
"August","2019","Sunday","9:00 to 11:59","Injury collisions",137,236,211,0
"August","2019","Sunday","12:00 to 14:59","Fatal collisions",6,9,14,6
"August","2019","Sunday","12:00 to 14:59","Injury collisions",220,417,314,0
"August","2019","Sunday","15:00 to 17:59","Fatal collisions",3,4,1,3
"August","2019","Sunday","15:00 to 17:59","Injury collisions",219,394,326,0
"August","2019","Sunday","18:00 to 20:59","Fatal collisions",4,5,4,4
"August","2019","Sunday","18:00 to 20:59","Injury collisions",154,265,222,0
"August","2019","Sunday","21:00 to 23:59","Fatal collisions",3,8,10,4
"August","2019","Sunday","21:00 to 23:59","Injury collisions",107,177,143,0
"August","2019","Unknown","Midnight to 2:59","Fatal collisions",0,0,0,0
"August","2019","Unknown","Midnight to 2:59","Injury collisions",0,0,0,0
"August","2019","Unknown","3:00 to 5:59","Fatal collisions",0,0,0,0
"August","2019","Unknown","3:00 to 5:59","Injury collisions",0,0,0,0
"August","2019","Unknown","6:00 to 8:59","Fatal collisions",0,0,0,0
"August","2019","Unknown","6:00 to 8:59","Injury collisions",0,0,0,0
"August","2019","Unknown","9:00 to 11:59","Fatal collisions",0,0,0,0
"August","2019","Unknown","9:00 to 11:59","Injury collisions",0,0,0,0
"August","2019","Unknown","12:00 to 14:59","Fatal collisions",0,0,0,0
"August","2019","Unknown","12:00 to 14:59","Injury collisions",0,0,0,0
"August","2019","Unknown","15:00 to 17:59","Fatal collisions",0,0,0,0
"August","2019","Unknown","15:00 to 17:59","Injury collisions",0,0,0,0
"August","2019","Unknown","18:00 to 20:59","Fatal collisions",0,0,0,0
"August","2019","Unknown","18:00 to 20:59","Injury collisions",0,0,0,0
"August","2019","Unknown","21:00 to 23:59","Fatal collisions",0,0,0,0
"August","2019","Unknown","21:00 to 23:59","Injury collisions",0,0,0,0
"August","2020","Total","Midnight to 2:59","Fatal collisions",13,23,6,15
"August","2020","Total","Midnight to 2:59","Injury collisions",347,491,451,0
"August","2020","Total","3:00 to 5:59","Fatal collisions",17,21,7,18
"August","2020","Total","3:00 to 5:59","Injury collisions",202,280,250,0
"August","2020","Total","6:00 to 8:59","Fatal collisions",10,15,5,10
"August","2020","Total","6:00 to 8:59","Injury collisions",668,1170,824,0
"August","2020","Total","9:00 to 11:59","Fatal collisions",29,45,18,30
"August","2020","Total","9:00 to 11:59","Injury collisions",1056,1923,1401,0
"August","2020","Total","12:00 to 14:59","Fatal collisions",36,61,30,40
"August","2020","Total","12:00 to 14:59","Injury collisions",1644,3044,2280,0
"August","2020","Total","15:00 to 17:59","Fatal collisions",36,72,41,39
"August","2020","Total","15:00 to 17:59","Injury collisions",1843,3532,2519,0
"August","2020","Total","18:00 to 20:59","Fatal collisions",28,36,15,29
"August","2020","Total","18:00 to 20:59","Injury collisions",1141,1998,1561,0
"August","2020","Total","21:00 to 23:59","Fatal collisions",27,40,12,30
"August","2020","Total","21:00 to 23:59","Injury collisions",725,1139,959,0
"August","2020","Monday","Midnight to 2:59","Fatal collisions",3,6,1,4
"August","2020","Monday","Midnight to 2:59","Injury collisions",48,61,61,0
"August","2020","Monday","3:00 to 5:59","Fatal collisions",5,6,1,6
"August","2020","Monday","3:00 to 5:59","Injury collisions",34,49,40,0
"August","2020","Monday","6:00 to 8:59","Fatal collisions",1,2,1,1
"August","2020","Monday","6:00 to 8:59","Injury collisions",128,227,167,0
"August","2020","Monday","9:00 to 11:59","Fatal collisions",4,7,1,4
"August","2020","Monday","9:00 to 11:59","Injury collisions",153,277,204,0
"August","2020","Monday","12:00 to 14:59","Fatal collisions",5,7,0,5
"August","2020","Monday","12:00 to 14:59","Injury collisions",225,420,314,0
"August","2020","Monday","15:00 to 17:59","Fatal collisions",2,6,3,2
"August","2020","Monday","15:00 to 17:59","Injury collisions",301,558,397,0
"August","2020","Monday","18:00 to 20:59","Fatal collisions",6,7,3,6
"August","2020","Monday","18:00 to 20:59","Injury collisions",159,270,216,0
"August","2020","Monday","21:00 to 23:59","Fatal collisions",4,6,4,5
"August","2020","Monday","21:00 to 23:59","Injury collisions",92,132,120,0
"August","2020","Tuesday","Midnight to 2:59","Fatal collisions",2,4,2,2
"August","2020","Tuesday","Midnight to 2:59","Injury collisions",39,59,46,0
"August","2020","Tuesday","3:00 to 5:59","Fatal collisions",1,2,0,1
"August","2020","Tuesday","3:00 to 5:59","Injury collisions",16,22,21,0
"August","2020","Tuesday","6:00 to 8:59","Fatal collisions",1,1,0,1
"August","2020","Tuesday","6:00 to 8:59","Injury collisions",95,175,116,0
"August","2020","Tuesday","9:00 to 11:59","Fatal collisions",3,4,5,3
"August","2020","Tuesday","9:00 to 11:59","Injury collisions",153,278,194,0
"August","2020","Tuesday","12:00 to 14:59","Fatal collisions",5,10,4,5
"August","2020","Tuesday","12:00 to 14:59","Injury collisions",197,367,268,0
"August","2020","Tuesday","15:00 to 17:59","Fatal collisions",2,3,8,2
"August","2020","Tuesday","15:00 to 17:59","Injury collisions",225,429,304,0
"August","2020","Tuesday","18:00 to 20:59","Fatal collisions",3,5,3,3
"August","2020","Tuesday","18:00 to 20:59","Injury collisions",154,276,202,0
"August","2020","Tuesday","21:00 to 23:59","Fatal collisions",1,1,0,1
"August","2020","Tuesday","21:00 to 23:59","Injury collisions",91,136,110,0
"August","2020","Wednesday","Midnight to 2:59","Fatal collisions",1,1,0,1
"August","2020","Wednesday","Midnight to 2:59","Injury collisions",34,44,42,0
"August","2020","Wednesday","3:00 to 5:59","Fatal collisions",0,0,0,0
"August","2020","Wednesday","3:00 to 5:59","Injury collisions",24,39,30,0
"August","2020","Wednesday","6:00 to 8:59","Fatal collisions",6,10,4,6
"August","2020","Wednesday","6:00 to 8:59","Injury collisions",93,181,117,0
"August","2020","Wednesday","9:00 to 11:59","Fatal collisions",3,7,3,3
"August","2020","Wednesday","9:00 to 11:59","Injury collisions",158,292,210,0
"August","2020","Wednesday","12:00 to 14:59","Fatal collisions",3,3,0,3
"August","2020","Wednesday","12:00 to 14:59","Injury collisions",231,411,303,0
"August","2020","Wednesday","15:00 to 17:59","Fatal collisions",6,11,7,6
"August","2020","Wednesday","15:00 to 17:59","Injury collisions",281,574,373,0
"August","2020","Wednesday","18:00 to 20:59","Fatal collisions",1,1,0,1
"August","2020","Wednesday","18:00 to 20:59","Injury collisions",152,256,186,0
"August","2020","Wednesday","21:00 to 23:59","Fatal collisions",3,3,1,3
"August","2020","Wednesday","21:00 to 23:59","Injury collisions",88,142,119,0
"August","2020","Thursday","Midnight to 2:59","Fatal collisions",1,3,3,2
"August","2020","Thursday","Midnight to 2:59","Injury collisions",37,56,46,0
"August","2020","Thursday","3:00 to 5:59","Fatal collisions",3,4,1,3
"August","2020","Thursday","3:00 to 5:59","Injury collisions",25,38,27,0
"August","2020","Thursday","6:00 to 8:59","Fatal collisions",2,2,0,2
"August","2020","Thursday","6:00 to 8:59","Injury collisions",107,191,129,0
"August","2020","Thursday","9:00 to 11:59","Fatal collisions",1,2,0,1
"August","2020","Thursday","9:00 to 11:59","Injury collisions",141,255,179,0
"August","2020","Thursday","12:00 to 14:59","Fatal collisions",3,7,4,3
"August","2020","Thursday","12:00 to 14:59","Injury collisions",225,427,291,0
"August","2020","Thursday","15:00 to 17:59","Fatal collisions",11,25,14,12
"August","2020","Thursday","15:00 to 17:59","Injury collisions",280,535,401,0
"August","2020","Thursday","18:00 to 20:59","Fatal collisions",1,1,0,1
"August","2020","Thursday","18:00 to 20:59","Injury collisions",177,312,233,0
"August","2020","Thursday","21:00 to 23:59","Fatal collisions",3,6,0,4
"August","2020","Thursday","21:00 to 23:59","Injury collisions",94,156,124,0
"August","2020","Friday","Midnight to 2:59","Fatal collisions",2,2,0,2
"August","2020","Friday","Midnight to 2:59","Injury collisions",32,44,49,0
"August","2020","Friday","3:00 to 5:59","Fatal collisions",1,1,3,1
"August","2020","Friday","3:00 to 5:59","Injury collisions",25,30,35,0
"August","2020","Friday","6:00 to 8:59","Fatal collisions",0,0,0,0
"August","2020","Friday","6:00 to 8:59","Injury collisions",118,202,135,0
"August","2020","Friday","9:00 to 11:59","Fatal collisions",10,14,6,11
"August","2020","Friday","9:00 to 11:59","Injury collisions",149,284,199,0
"August","2020","Friday","12:00 to 14:59","Fatal collisions",6,10,3,8
"August","2020","Friday","12:00 to 14:59","Injury collisions",274,503,389,0
"August","2020","Friday","15:00 to 17:59","Fatal collisions",8,14,5,10
"August","2020","Friday","15:00 to 17:59","Injury collisions",284,572,383,0
"August","2020","Friday","18:00 to 20:59","Fatal collisions",7,10,0,8
"August","2020","Friday","18:00 to 20:59","Injury collisions",161,289,231,0
"August","2020","Friday","21:00 to 23:59","Fatal collisions",7,13,1,7
"August","2020","Friday","21:00 to 23:59","Injury collisions",109,174,149,0
"August","2020","Saturday","Midnight to 2:59","Fatal collisions",3,4,0,3
"August","2020","Saturday","Midnight to 2:59","Injury collisions",72,104,95,0
"August","2020","Saturday","3:00 to 5:59","Fatal collisions",2,2,0,2
"August","2020","Saturday","3:00 to 5:59","Injury collisions",37,51,49,0
"August","2020","Saturday","6:00 to 8:59","Fatal collisions",0,0,0,0
"August","2020","Saturday","6:00 to 8:59","Injury collisions",80,129,107,0
"August","2020","Saturday","9:00 to 11:59","Fatal collisions",3,5,2,3
"August","2020","Saturday","9:00 to 11:59","Injury collisions",179,336,242,0
"August","2020","Saturday","12:00 to 14:59","Fatal collisions",7,11,6,8
"August","2020","Saturday","12:00 to 14:59","Injury collisions",287,537,424,0
"August","2020","Saturday","15:00 to 17:59","Fatal collisions",4,7,2,4
"August","2020","Saturday","15:00 to 17:59","Injury collisions",263,477,371,0
"August","2020","Saturday","18:00 to 20:59","Fatal collisions",7,8,6,7
"August","2020","Saturday","18:00 to 20:59","Injury collisions",180,305,261,0
"August","2020","Saturday","21:00 to 23:59","Fatal collisions",4,5,3,4
"August","2020","Saturday","21:00 to 23:59","Injury collisions",136,214,184,0
"August","2020","Sunday","Midnight to 2:59","Fatal collisions",1,3,0,1
"August","2020","Sunday","Midnight to 2:59","Injury collisions",85,123,112,0
"August","2020","Sunday","3:00 to 5:59","Fatal collisions",5,6,2,5
"August","2020","Sunday","3:00 to 5:59","Injury collisions",41,51,48,0
"August","2020","Sunday","6:00 to 8:59","Fatal collisions",0,0,0,0
"August","2020","Sunday","6:00 to 8:59","Injury collisions",47,65,53,0
"August","2020","Sunday","9:00 to 11:59","Fatal collisions",5,6,1,5
"August","2020","Sunday","9:00 to 11:59","Injury collisions",123,201,173,0
"August","2020","Sunday","12:00 to 14:59","Fatal collisions",7,13,13,8
"August","2020","Sunday","12:00 to 14:59","Injury collisions",205,379,291,0
"August","2020","Sunday","15:00 to 17:59","Fatal collisions",3,6,2,3
"August","2020","Sunday","15:00 to 17:59","Injury collisions",209,387,290,0
"August","2020","Sunday","18:00 to 20:59","Fatal collisions",3,4,3,3
"August","2020","Sunday","18:00 to 20:59","Injury collisions",158,290,232,0
"August","2020","Sunday","21:00 to 23:59","Fatal collisions",5,6,3,6
"August","2020","Sunday","21:00 to 23:59","Injury collisions",115,185,153,0
"August","2020","Unknown","Midnight to 2:59","Fatal collisions",0,0,0,0
"August","2020","Unknown","Midnight to 2:59","Injury collisions",0,0,0,0
"August","2020","Unknown","3:00 to 5:59","Fatal collisions",0,0,0,0
"August","2020","Unknown","3:00 to 5:59","Injury collisions",0,0,0,0
"August","2020","Unknown","6:00 to 8:59","Fatal collisions",0,0,0,0
"August","2020","Unknown","6:00 to 8:59","Injury collisions",0,0,0,0
"August","2020","Unknown","9:00 to 11:59","Fatal collisions",0,0,0,0
"August","2020","Unknown","9:00 to 11:59","Injury collisions",0,0,0,0
"August","2020","Unknown","12:00 to 14:59","Fatal collisions",0,0,0,0
"August","2020","Unknown","12:00 to 14:59","Injury collisions",0,0,0,0
"August","2020","Unknown","15:00 to 17:59","Fatal collisions",0,0,0,0
"August","2020","Unknown","15:00 to 17:59","Injury collisions",0,0,0,0
"August","2020","Unknown","18:00 to 20:59","Fatal collisions",0,0,0,0
"August","2020","Unknown","18:00 to 20:59","Injury collisions",0,0,0,0
"August","2020","Unknown","21:00 to 23:59","Fatal collisions",0,0,0,0
"August","2020","Unknown","21:00 to 23:59","Injury collisions",0,0,0,0
"August","2021","Total","Midnight to 2:59","Fatal collisions",18,27,10,22
"August","2021","Total","Midnight to 2:59","Injury collisions",327,473,439,0
"August","2021","Total","3:00 to 5:59","Fatal collisions",10,11,8,11
"August","2021","Total","3:00 to 5:59","Injury collisions",229,312,288,0
"August","2021","Total","6:00 to 8:59","Fatal collisions",20,26,11,21
"August","2021","Total","6:00 to 8:59","Injury collisions",715,1256,894,0
"August","2021","Total","9:00 to 11:59","Fatal collisions",17,30,18,22
"August","2021","Total","9:00 to 11:59","Injury collisions",1113,2036,1454,0
"August","2021","Total","12:00 to 14:59","Fatal collisions",33,63,31,39
"August","2021","Total","12:00 to 14:59","Injury collisions",1651,3086,2235,0
"August","2021","Total","15:00 to 17:59","Fatal collisions",35,53,22,37
"August","2021","Total","15:00 to 17:59","Injury collisions",2102,4014,2883,0
"August","2021","Total","18:00 to 20:59","Fatal collisions",29,48,13,29
