
,,,,Measures,"Number of collisions","Number of injured","Number of fatalities"
"Month","Year","Road Class I","Speed limit","Pedestrians",
"May","2018","Rural","100 km per hour","Collisions with 2 pedestrians",6,8,1
"May","2018","Rural","100 km per hour","Collisions with 3 or more pedestrians",2,5,0
"May","2018","Rural","110 km per hour","Collisions with 0 pedestrians",31,45,0
"May","2018","Rural","110 km per hour","Collisions with 1 pedestrian",2,2,1
"May","2018","Rural","110 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2018","Rural","110 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2018","Rural","Unknown","Collisions with 0 pedestrians",109,144,2
"May","2018","Rural","Unknown","Collisions with 1 pedestrian",5,5,0
"May","2018","Rural","Unknown","Collisions with 2 pedestrians",1,1,0
"May","2018","Rural","Unknown","Collisions with 3 or more pedestrians",1,2,0
"May","2018","Unknown","Less than 40 km per hour","Collisions with 0 pedestrians",0,0,0
"May","2018","Unknown","Less than 40 km per hour","Collisions with 1 pedestrian",1,1,0
"May","2018","Unknown","Less than 40 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2018","Unknown","Less than 40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2018","Unknown","40 km per hour","Collisions with 0 pedestrians",2,7,0
"May","2018","Unknown","40 km per hour","Collisions with 1 pedestrian",0,0,0
"May","2018","Unknown","40 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2018","Unknown","40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2018","Unknown","50 km per hour","Collisions with 0 pedestrians",10,12,0
"May","2018","Unknown","50 km per hour","Collisions with 1 pedestrian",1,1,0
"May","2018","Unknown","50 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2018","Unknown","50 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2018","Unknown","60 km per hour","Collisions with 0 pedestrians",3,4,0
"May","2018","Unknown","60 km per hour","Collisions with 1 pedestrian",0,0,0
"May","2018","Unknown","60 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2018","Unknown","60 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2018","Unknown","70 km per hour","Collisions with 0 pedestrians",2,3,0
"May","2018","Unknown","70 km per hour","Collisions with 1 pedestrian",0,0,0
"May","2018","Unknown","70 km per hour","Collisions with 2 pedestrians",1,1,0
"May","2018","Unknown","70 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2018","Unknown","80 km per hour","Collisions with 0 pedestrians",2,3,0
"May","2018","Unknown","80 km per hour","Collisions with 1 pedestrian",0,0,0
"May","2018","Unknown","80 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2018","Unknown","80 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2018","Unknown","90 km per hour","Collisions with 0 pedestrians",4,5,0
"May","2018","Unknown","90 km per hour","Collisions with 1 pedestrian",0,0,0
"May","2018","Unknown","90 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2018","Unknown","90 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2018","Unknown","100 km per hour","Collisions with 0 pedestrians",6,9,0
"May","2018","Unknown","100 km per hour","Collisions with 1 pedestrian",0,0,0
"May","2018","Unknown","100 km per hour","Collisions with 2 pedestrians",2,2,0
"May","2018","Unknown","100 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2018","Unknown","110 km per hour","Collisions with 0 pedestrians",0,0,0
"May","2018","Unknown","110 km per hour","Collisions with 1 pedestrian",0,0,0
"May","2018","Unknown","110 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2018","Unknown","110 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2018","Unknown","Unknown","Collisions with 0 pedestrians",36,46,0
"May","2018","Unknown","Unknown","Collisions with 1 pedestrian",12,12,0
"May","2018","Unknown","Unknown","Collisions with 2 pedestrians",2,2,0
"May","2018","Unknown","Unknown","Collisions with 3 or more pedestrians",1,1,0
"May","2019","Urban","Less than 40 km per hour","Collisions with 0 pedestrians",104,119,1
"May","2019","Urban","Less than 40 km per hour","Collisions with 1 pedestrian",45,45,1
"May","2019","Urban","Less than 40 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2019","Urban","Less than 40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2019","Urban","40 km per hour","Collisions with 0 pedestrians",231,278,1
"May","2019","Urban","40 km per hour","Collisions with 1 pedestrian",75,76,1
"May","2019","Urban","40 km per hour","Collisions with 2 pedestrians",3,4,0
"May","2019","Urban","40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2019","Urban","50 km per hour","Collisions with 0 pedestrians",2285,3076,14
"May","2019","Urban","50 km per hour","Collisions with 1 pedestrian",304,305,7
"May","2019","Urban","50 km per hour","Collisions with 2 pedestrians",38,53,1
"May","2019","Urban","50 km per hour","Collisions with 3 or more pedestrians",7,18,0
"May","2019","Urban","60 km per hour","Collisions with 0 pedestrians",838,1186,11
"May","2019","Urban","60 km per hour","Collisions with 1 pedestrian",46,49,0
"May","2019","Urban","60 km per hour","Collisions with 2 pedestrians",2,4,0
"May","2019","Urban","60 km per hour","Collisions with 3 or more pedestrians",1,1,0
"May","2019","Urban","70 km per hour","Collisions with 0 pedestrians",175,246,1
"May","2019","Urban","70 km per hour","Collisions with 1 pedestrian",3,3,0
"May","2019","Urban","70 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2019","Urban","70 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2019","Urban","80 km per hour","Collisions with 0 pedestrians",87,120,1
"May","2019","Urban","80 km per hour","Collisions with 1 pedestrian",1,1,0
"May","2019","Urban","80 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2019","Urban","80 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2019","Urban","90 km per hour","Collisions with 0 pedestrians",52,76,3
"May","2019","Urban","90 km per hour","Collisions with 1 pedestrian",0,0,0
"May","2019","Urban","90 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2019","Urban","90 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2019","Urban","100 km per hour","Collisions with 0 pedestrians",70,98,2
"May","2019","Urban","100 km per hour","Collisions with 1 pedestrian",1,1,0
"May","2019","Urban","100 km per hour","Collisions with 2 pedestrians",1,1,0
"May","2019","Urban","100 km per hour","Collisions with 3 or more pedestrians",1,1,0
"May","2019","Urban","110 km per hour","Collisions with 0 pedestrians",12,15,0
"May","2019","Urban","110 km per hour","Collisions with 1 pedestrian",2,2,0
"May","2019","Urban","110 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2019","Urban","110 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2019","Urban","Unknown","Collisions with 0 pedestrians",340,412,3
"May","2019","Urban","Unknown","Collisions with 1 pedestrian",93,99,0
"May","2019","Urban","Unknown","Collisions with 2 pedestrians",15,19,3
"May","2019","Urban","Unknown","Collisions with 3 or more pedestrians",4,11,0
"May","2019","Rural","Less than 40 km per hour","Collisions with 0 pedestrians",10,14,1
"May","2019","Rural","Less than 40 km per hour","Collisions with 1 pedestrian",0,0,0
"May","2019","Rural","Less than 40 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2019","Rural","Less than 40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2019","Rural","40 km per hour","Collisions with 0 pedestrians",7,7,0
"May","2019","Rural","40 km per hour","Collisions with 1 pedestrian",0,0,0
"May","2019","Rural","40 km per hour","Collisions with 2 pedestrians",2,3,0
"May","2019","Rural","40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2019","Rural","50 km per hour","Collisions with 0 pedestrians",115,146,5
"May","2019","Rural","50 km per hour","Collisions with 1 pedestrian",5,5,0
"May","2019","Rural","50 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2019","Rural","50 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2019","Rural","60 km per hour","Collisions with 0 pedestrians",66,91,1
"May","2019","Rural","60 km per hour","Collisions with 1 pedestrian",2,2,0
"May","2019","Rural","60 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2019","Rural","60 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2019","Rural","70 km per hour","Collisions with 0 pedestrians",225,321,1
"May","2019","Rural","70 km per hour","Collisions with 1 pedestrian",4,4,0
"May","2019","Rural","70 km per hour","Collisions with 2 pedestrians",1,1,0
"May","2019","Rural","70 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2019","Rural","80 km per hour","Collisions with 0 pedestrians",532,724,26
"May","2019","Rural","80 km per hour","Collisions with 1 pedestrian",12,8,4
"May","2019","Rural","80 km per hour","Collisions with 2 pedestrians",3,3,0
"May","2019","Rural","80 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2019","Rural","90 km per hour","Collisions with 0 pedestrians",363,489,14
"May","2019","Rural","90 km per hour","Collisions with 1 pedestrian",1,1,0
"May","2019","Rural","90 km per hour","Collisions with 2 pedestrians",1,2,0
"May","2019","Rural","90 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2019","Rural","100 km per hour","Collisions with 0 pedestrians",522,723,11
"May","2019","Rural","100 km per hour","Collisions with 1 pedestrian",4,2,2
"May","2019","Rural","100 km per hour","Collisions with 2 pedestrians",7,10,1
"May","2019","Rural","100 km per hour","Collisions with 3 or more pedestrians",1,2,0
"May","2019","Rural","110 km per hour","Collisions with 0 pedestrians",20,27,1
"May","2019","Rural","110 km per hour","Collisions with 1 pedestrian",1,2,0
"May","2019","Rural","110 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2019","Rural","110 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2019","Rural","Unknown","Collisions with 0 pedestrians",112,143,1
"May","2019","Rural","Unknown","Collisions with 1 pedestrian",0,0,0
"May","2019","Rural","Unknown","Collisions with 2 pedestrians",1,1,0
"May","2019","Rural","Unknown","Collisions with 3 or more pedestrians",1,2,0
"May","2019","Unknown","Less than 40 km per hour","Collisions with 0 pedestrians",1,2,0
"May","2019","Unknown","Less than 40 km per hour","Collisions with 1 pedestrian",1,1,0
"May","2019","Unknown","Less than 40 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2019","Unknown","Less than 40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2019","Unknown","40 km per hour","Collisions with 0 pedestrians",0,0,0
"May","2019","Unknown","40 km per hour","Collisions with 1 pedestrian",0,0,0
"May","2019","Unknown","40 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2019","Unknown","40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2019","Unknown","50 km per hour","Collisions with 0 pedestrians",10,12,1
"May","2019","Unknown","50 km per hour","Collisions with 1 pedestrian",3,3,0
"May","2019","Unknown","50 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2019","Unknown","50 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2019","Unknown","60 km per hour","Collisions with 0 pedestrians",2,2,0
"May","2019","Unknown","60 km per hour","Collisions with 1 pedestrian",0,0,0
"May","2019","Unknown","60 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2019","Unknown","60 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2019","Unknown","70 km per hour","Collisions with 0 pedestrians",4,5,0
"May","2019","Unknown","70 km per hour","Collisions with 1 pedestrian",0,0,0
"May","2019","Unknown","70 km per hour","Collisions with 2 pedestrians",1,1,0
"May","2019","Unknown","70 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2019","Unknown","80 km per hour","Collisions with 0 pedestrians",1,1,0
"May","2019","Unknown","80 km per hour","Collisions with 1 pedestrian",0,0,0
"May","2019","Unknown","80 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2019","Unknown","80 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2019","Unknown","90 km per hour","Collisions with 0 pedestrians",3,4,0
"May","2019","Unknown","90 km per hour","Collisions with 1 pedestrian",0,0,0
"May","2019","Unknown","90 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2019","Unknown","90 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2019","Unknown","100 km per hour","Collisions with 0 pedestrians",6,7,0
"May","2019","Unknown","100 km per hour","Collisions with 1 pedestrian",0,0,0
"May","2019","Unknown","100 km per hour","Collisions with 2 pedestrians",2,2,0
"May","2019","Unknown","100 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2019","Unknown","110 km per hour","Collisions with 0 pedestrians",0,0,0
"May","2019","Unknown","110 km per hour","Collisions with 1 pedestrian",0,0,0
"May","2019","Unknown","110 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2019","Unknown","110 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2019","Unknown","Unknown","Collisions with 0 pedestrians",76,92,0
"May","2019","Unknown","Unknown","Collisions with 1 pedestrian",12,12,0
"May","2019","Unknown","Unknown","Collisions with 2 pedestrians",2,2,0
"May","2019","Unknown","Unknown","Collisions with 3 or more pedestrians",1,1,0
"May","2020","Urban","Less than 40 km per hour","Collisions with 0 pedestrians",70,81,0
"May","2020","Urban","Less than 40 km per hour","Collisions with 1 pedestrian",38,37,1
"May","2020","Urban","Less than 40 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2020","Urban","Less than 40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2020","Urban","40 km per hour","Collisions with 0 pedestrians",131,149,0
"May","2020","Urban","40 km per hour","Collisions with 1 pedestrian",26,26,0
"May","2020","Urban","40 km per hour","Collisions with 2 pedestrians",4,6,0
"May","2020","Urban","40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2020","Urban","50 km per hour","Collisions with 0 pedestrians",1484,1887,22
"May","2020","Urban","50 km per hour","Collisions with 1 pedestrian",177,177,6
"May","2020","Urban","50 km per hour","Collisions with 2 pedestrians",27,32,1
"May","2020","Urban","50 km per hour","Collisions with 3 or more pedestrians",7,11,0
"May","2020","Urban","60 km per hour","Collisions with 0 pedestrians",379,526,7
"May","2020","Urban","60 km per hour","Collisions with 1 pedestrian",28,28,2
"May","2020","Urban","60 km per hour","Collisions with 2 pedestrians",1,2,0
"May","2020","Urban","60 km per hour","Collisions with 3 or more pedestrians",1,1,0
"May","2020","Urban","70 km per hour","Collisions with 0 pedestrians",136,194,3
"May","2020","Urban","70 km per hour","Collisions with 1 pedestrian",4,4,0
"May","2020","Urban","70 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2020","Urban","70 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2020","Urban","80 km per hour","Collisions with 0 pedestrians",53,70,1
"May","2020","Urban","80 km per hour","Collisions with 1 pedestrian",1,1,0
"May","2020","Urban","80 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2020","Urban","80 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2020","Urban","90 km per hour","Collisions with 0 pedestrians",46,69,0
"May","2020","Urban","90 km per hour","Collisions with 1 pedestrian",1,1,0
"May","2020","Urban","90 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2020","Urban","90 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2020","Urban","100 km per hour","Collisions with 0 pedestrians",41,54,2
"May","2020","Urban","100 km per hour","Collisions with 1 pedestrian",1,1,0
"May","2020","Urban","100 km per hour","Collisions with 2 pedestrians",1,1,0
"May","2020","Urban","100 km per hour","Collisions with 3 or more pedestrians",1,1,0
"May","2020","Urban","110 km per hour","Collisions with 0 pedestrians",10,12,0
"May","2020","Urban","110 km per hour","Collisions with 1 pedestrian",2,2,0
"May","2020","Urban","110 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2020","Urban","110 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2020","Urban","Unknown","Collisions with 0 pedestrians",199,241,2
"May","2020","Urban","Unknown","Collisions with 1 pedestrian",66,69,1
"May","2020","Urban","Unknown","Collisions with 2 pedestrians",10,11,1
"May","2020","Urban","Unknown","Collisions with 3 or more pedestrians",2,5,0
"May","2020","Rural","Less than 40 km per hour","Collisions with 0 pedestrians",14,18,1
"May","2020","Rural","Less than 40 km per hour","Collisions with 1 pedestrian",1,1,0
"May","2020","Rural","Less than 40 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2020","Rural","Less than 40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2020","Rural","40 km per hour","Collisions with 0 pedestrians",8,9,0
"May","2020","Rural","40 km per hour","Collisions with 1 pedestrian",0,0,0
"May","2020","Rural","40 km per hour","Collisions with 2 pedestrians",2,3,0
"May","2020","Rural","40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2020","Rural","50 km per hour","Collisions with 0 pedestrians",101,129,2
"May","2020","Rural","50 km per hour","Collisions with 1 pedestrian",7,7,0
"May","2020","Rural","50 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2020","Rural","50 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2020","Rural","60 km per hour","Collisions with 0 pedestrians",61,86,1
"May","2020","Rural","60 km per hour","Collisions with 1 pedestrian",2,2,0
"May","2020","Rural","60 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2020","Rural","60 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2020","Rural","70 km per hour","Collisions with 0 pedestrians",167,209,6
"May","2020","Rural","70 km per hour","Collisions with 1 pedestrian",3,2,1
"May","2020","Rural","70 km per hour","Collisions with 2 pedestrians",1,1,0
"May","2020","Rural","70 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2020","Rural","80 km per hour","Collisions with 0 pedestrians",445,597,21
"May","2020","Rural","80 km per hour","Collisions with 1 pedestrian",5,7,2
"May","2020","Rural","80 km per hour","Collisions with 2 pedestrians",3,3,0
"May","2020","Rural","80 km per hour","Collisions with 3 or more pedestrians",1,3,0
"May","2020","Rural","90 km per hour","Collisions with 0 pedestrians",246,322,10
"May","2020","Rural","90 km per hour","Collisions with 1 pedestrian",1,0,1
"May","2020","Rural","90 km per hour","Collisions with 2 pedestrians",1,2,0
"May","2020","Rural","90 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2020","Rural","100 km per hour","Collisions with 0 pedestrians",324,423,11
"May","2020","Rural","100 km per hour","Collisions with 1 pedestrian",4,3,1
"May","2020","Rural","100 km per hour","Collisions with 2 pedestrians",7,9,1
"May","2020","Rural","100 km per hour","Collisions with 3 or more pedestrians",1,2,0
"May","2020","Rural","110 km per hour","Collisions with 0 pedestrians",17,21,1
"May","2020","Rural","110 km per hour","Collisions with 1 pedestrian",1,2,0
"May","2020","Rural","110 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2020","Rural","110 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2020","Rural","Unknown","Collisions with 0 pedestrians",85,112,2
"May","2020","Rural","Unknown","Collisions with 1 pedestrian",2,2,0
"May","2020","Rural","Unknown","Collisions with 2 pedestrians",1,1,0
"May","2020","Rural","Unknown","Collisions with 3 or more pedestrians",1,2,0
"May","2020","Unknown","Less than 40 km per hour","Collisions with 0 pedestrians",1,2,0
"May","2020","Unknown","Less than 40 km per hour","Collisions with 1 pedestrian",0,0,0
"May","2020","Unknown","Less than 40 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2020","Unknown","Less than 40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2020","Unknown","40 km per hour","Collisions with 0 pedestrians",3,5,0
"May","2020","Unknown","40 km per hour","Collisions with 1 pedestrian",0,0,0
"May","2020","Unknown","40 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2020","Unknown","40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2020","Unknown","50 km per hour","Collisions with 0 pedestrians",6,6,1
"May","2020","Unknown","50 km per hour","Collisions with 1 pedestrian",1,1,0
"May","2020","Unknown","50 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2020","Unknown","50 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2020","Unknown","60 km per hour","Collisions with 0 pedestrians",2,2,0
"May","2020","Unknown","60 km per hour","Collisions with 1 pedestrian",0,0,0
"May","2020","Unknown","60 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2020","Unknown","60 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2020","Unknown","70 km per hour","Collisions with 0 pedestrians",3,4,0
"May","2020","Unknown","70 km per hour","Collisions with 1 pedestrian",0,0,0
"May","2020","Unknown","70 km per hour","Collisions with 2 pedestrians",1,1,0
"May","2020","Unknown","70 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2020","Unknown","80 km per hour","Collisions with 0 pedestrians",2,2,0
"May","2020","Unknown","80 km per hour","Collisions with 1 pedestrian",0,0,0
"May","2020","Unknown","80 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2020","Unknown","80 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2020","Unknown","90 km per hour","Collisions with 0 pedestrians",1,2,0
"May","2020","Unknown","90 km per hour","Collisions with 1 pedestrian",0,0,0
"May","2020","Unknown","90 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2020","Unknown","90 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2020","Unknown","100 km per hour","Collisions with 0 pedestrians",5,6,0
"May","2020","Unknown","100 km per hour","Collisions with 1 pedestrian",0,0,0
"May","2020","Unknown","100 km per hour","Collisions with 2 pedestrians",2,2,0
"May","2020","Unknown","100 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2020","Unknown","110 km per hour","Collisions with 0 pedestrians",0,0,0
"May","2020","Unknown","110 km per hour","Collisions with 1 pedestrian",0,0,0
"May","2020","Unknown","110 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2020","Unknown","110 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2020","Unknown","Unknown","Collisions with 0 pedestrians",35,39,0
"May","2020","Unknown","Unknown","Collisions with 1 pedestrian",3,3,0
"May","2020","Unknown","Unknown","Collisions with 2 pedestrians",2,2,0
"May","2020","Unknown","Unknown","Collisions with 3 or more pedestrians",1,1,0
"May","2021","Urban","Less than 40 km per hour","Collisions with 0 pedestrians",110,123,0
"May","2021","Urban","Less than 40 km per hour","Collisions with 1 pedestrian",48,49,0
"May","2021","Urban","Less than 40 km per hour","Collisions with 2 pedestrians",1,2,0
"May","2021","Urban","Less than 40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2021","Urban","40 km per hour","Collisions with 0 pedestrians",263,324,1
"May","2021","Urban","40 km per hour","Collisions with 1 pedestrian",51,53,2
"May","2021","Urban","40 km per hour","Collisions with 2 pedestrians",1,2,0
"May","2021","Urban","40 km per hour","Collisions with 3 or more pedestrians",1,2,2
"May","2021","Urban","50 km per hour","Collisions with 0 pedestrians",1903,2437,14
"May","2021","Urban","50 km per hour","Collisions with 1 pedestrian",240,244,5
"May","2021","Urban","50 km per hour","Collisions with 2 pedestrians",12,19,1
"May","2021","Urban","50 km per hour","Collisions with 3 or more pedestrians",2,4,0
"May","2021","Urban","60 km per hour","Collisions with 0 pedestrians",487,653,18
"May","2021","Urban","60 km per hour","Collisions with 1 pedestrian",35,31,4
"May","2021","Urban","60 km per hour","Collisions with 2 pedestrians",2,3,0
"May","2021","Urban","60 km per hour","Collisions with 3 or more pedestrians",1,1,0
"May","2021","Urban","70 km per hour","Collisions with 0 pedestrians",179,245,0
"May","2021","Urban","70 km per hour","Collisions with 1 pedestrian",3,2,1
"May","2021","Urban","70 km per hour","Collisions with 2 pedestrians",1,2,0
"May","2021","Urban","70 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2021","Urban","80 km per hour","Collisions with 0 pedestrians",58,73,3
"May","2021","Urban","80 km per hour","Collisions with 1 pedestrian",1,1,0
"May","2021","Urban","80 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2021","Urban","80 km per hour","Collisions with 3 or more pedestrians",1,1,0
"May","2021","Urban","90 km per hour","Collisions with 0 pedestrians",51,74,0
"May","2021","Urban","90 km per hour","Collisions with 1 pedestrian",1,1,0
"May","2021","Urban","90 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2021","Urban","90 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2021","Urban","100 km per hour","Collisions with 0 pedestrians",59,82,2
"May","2021","Urban","100 km per hour","Collisions with 1 pedestrian",1,1,0
"May","2021","Urban","100 km per hour","Collisions with 2 pedestrians",2,3,0
"May","2021","Urban","100 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2021","Urban","110 km per hour","Collisions with 0 pedestrians",8,11,0
"May","2021","Urban","110 km per hour","Collisions with 1 pedestrian",0,0,0
"May","2021","Urban","110 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2021","Urban","110 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2021","Urban","Unknown","Collisions with 0 pedestrians",232,283,3
"May","2021","Urban","Unknown","Collisions with 1 pedestrian",59,68,0
"May","2021","Urban","Unknown","Collisions with 2 pedestrians",8,14,0
"May","2021","Urban","Unknown","Collisions with 3 or more pedestrians",2,4,0
"May","2021","Rural","Less than 40 km per hour","Collisions with 0 pedestrians",12,15,1
"May","2021","Rural","Less than 40 km per hour","Collisions with 1 pedestrian",1,1,0
"May","2021","Rural","Less than 40 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2021","Rural","Less than 40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2021","Rural","40 km per hour","Collisions with 0 pedestrians",10,11,0
"May","2021","Rural","40 km per hour","Collisions with 1 pedestrian",2,2,0
"May","2021","Rural","40 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2021","Rural","40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2021","Rural","50 km per hour","Collisions with 0 pedestrians",111,133,4
"May","2021","Rural","50 km per hour","Collisions with 1 pedestrian",4,4,0
"May","2021","Rural","50 km per hour","Collisions with 2 pedestrians",1,1,0
"May","2021","Rural","50 km per hour","Collisions with 3 or more pedestrians",3,3,0
"May","2021","Rural","60 km per hour","Collisions with 0 pedestrians",63,85,1
"May","2021","Rural","60 km per hour","Collisions with 1 pedestrian",2,2,0
"May","2021","Rural","60 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2021","Rural","60 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2021","Rural","70 km per hour","Collisions with 0 pedestrians",162,214,6
"May","2021","Rural","70 km per hour","Collisions with 1 pedestrian",6,8,0
"May","2021","Rural","70 km per hour","Collisions with 2 pedestrians",1,6,0
"May","2021","Rural","70 km per hour","Collisions with 3 or more pedestrians",1,1,0
"May","2021","Rural","80 km per hour","Collisions with 0 pedestrians",519,668,31
"May","2021","Rural","80 km per hour","Collisions with 1 pedestrian",2,2,0
"May","2021","Rural","80 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2021","Rural","80 km per hour","Collisions with 3 or more pedestrians",1,1,0
"May","2021","Rural","90 km per hour","Collisions with 0 pedestrians",294,392,15
"May","2021","Rural","90 km per hour","Collisions with 1 pedestrian",0,0,0
"May","2021","Rural","90 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2021","Rural","90 km per hour","Collisions with 3 or more pedestrians",0,0,0
"May","2021","Rural","100 km per hour","Collisions with 0 pedestrians",409,531,20
"May","2021","Rural","100 km per hour","Collisions with 1 pedestrian",5,5,1
"May","2021","Rural","100 km per hour","Collisions with 2 pedestrians",1,1,0
"May","2021","Rural","100 km per hour","Collisions with 3 or more pedestrians",2,3,0
"May","2021","Rural","110 km per hour","Collisions with 0 pedestrians",24,28,1
"May","2021","Rural","110 km per hour","Collisions with 1 pedestrian",0,0,0
"May","2021","Rural","110 km per hour","Collisions with 2 pedestrians",0,0,0
"May","2021","Rural","110 km per hour","Collisions with 3 or more pedestrians",1,1,0
