
,,,,Measures,"Number of collisions","Number of injured","Number of fatalities"
"Month","Year","Road Class I","Speed limit","Pedestrians",
"January","2010","Unknown","100 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2010","Unknown","100 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2010","Unknown","110 km per hour","Collisions with 0 pedestrians",0,0,0
"January","2010","Unknown","110 km per hour","Collisions with 1 pedestrian",0,0,0
"January","2010","Unknown","110 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2010","Unknown","110 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2010","Unknown","Unknown","Collisions with 0 pedestrians",25,31,0
"January","2010","Unknown","Unknown","Collisions with 1 pedestrian",7,7,0
"January","2010","Unknown","Unknown","Collisions with 2 pedestrians",0,0,0
"January","2010","Unknown","Unknown","Collisions with 3 or more pedestrians",0,0,0
"January","2011","Urban","Less than 40 km per hour","Collisions with 0 pedestrians",52,62,1
"January","2011","Urban","Less than 40 km per hour","Collisions with 1 pedestrian",31,31,0
"January","2011","Urban","Less than 40 km per hour","Collisions with 2 pedestrians",1,2,0
"January","2011","Urban","Less than 40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2011","Urban","40 km per hour","Collisions with 0 pedestrians",199,264,0
"January","2011","Urban","40 km per hour","Collisions with 1 pedestrian",62,62,1
"January","2011","Urban","40 km per hour","Collisions with 2 pedestrians",3,7,0
"January","2011","Urban","40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2011","Urban","50 km per hour","Collisions with 0 pedestrians",3100,4223,7
"January","2011","Urban","50 km per hour","Collisions with 1 pedestrian",628,633,12
"January","2011","Urban","50 km per hour","Collisions with 2 pedestrians",41,63,2
"January","2011","Urban","50 km per hour","Collisions with 3 or more pedestrians",8,20,0
"January","2011","Urban","60 km per hour","Collisions with 0 pedestrians",955,1414,5
"January","2011","Urban","60 km per hour","Collisions with 1 pedestrian",92,98,2
"January","2011","Urban","60 km per hour","Collisions with 2 pedestrians",5,10,0
"January","2011","Urban","60 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2011","Urban","70 km per hour","Collisions with 0 pedestrians",226,336,0
"January","2011","Urban","70 km per hour","Collisions with 1 pedestrian",5,7,1
"January","2011","Urban","70 km per hour","Collisions with 2 pedestrians",1,2,0
"January","2011","Urban","70 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2011","Urban","80 km per hour","Collisions with 0 pedestrians",73,105,2
"January","2011","Urban","80 km per hour","Collisions with 1 pedestrian",0,0,0
"January","2011","Urban","80 km per hour","Collisions with 2 pedestrians",1,1,1
"January","2011","Urban","80 km per hour","Collisions with 3 or more pedestrians",1,2,0
"January","2011","Urban","90 km per hour","Collisions with 0 pedestrians",98,146,1
"January","2011","Urban","90 km per hour","Collisions with 1 pedestrian",1,1,0
"January","2011","Urban","90 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2011","Urban","90 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2011","Urban","100 km per hour","Collisions with 0 pedestrians",112,152,0
"January","2011","Urban","100 km per hour","Collisions with 1 pedestrian",4,5,0
"January","2011","Urban","100 km per hour","Collisions with 2 pedestrians",1,8,0
"January","2011","Urban","100 km per hour","Collisions with 3 or more pedestrians",1,1,0
"January","2011","Urban","110 km per hour","Collisions with 0 pedestrians",11,16,0
"January","2011","Urban","110 km per hour","Collisions with 1 pedestrian",0,0,0
"January","2011","Urban","110 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2011","Urban","110 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2011","Urban","Unknown","Collisions with 0 pedestrians",613,779,0
"January","2011","Urban","Unknown","Collisions with 1 pedestrian",116,119,1
"January","2011","Urban","Unknown","Collisions with 2 pedestrians",5,7,0
"January","2011","Urban","Unknown","Collisions with 3 or more pedestrians",5,7,1
"January","2011","Rural","Less than 40 km per hour","Collisions with 0 pedestrians",8,10,0
"January","2011","Rural","Less than 40 km per hour","Collisions with 1 pedestrian",0,0,0
"January","2011","Rural","Less than 40 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2011","Rural","Less than 40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2011","Rural","40 km per hour","Collisions with 0 pedestrians",15,17,0
"January","2011","Rural","40 km per hour","Collisions with 1 pedestrian",0,0,0
"January","2011","Rural","40 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2011","Rural","40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2011","Rural","50 km per hour","Collisions with 0 pedestrians",135,170,0
"January","2011","Rural","50 km per hour","Collisions with 1 pedestrian",12,14,0
"January","2011","Rural","50 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2011","Rural","50 km per hour","Collisions with 3 or more pedestrians",1,1,0
"January","2011","Rural","60 km per hour","Collisions with 0 pedestrians",55,79,0
"January","2011","Rural","60 km per hour","Collisions with 1 pedestrian",2,3,1
"January","2011","Rural","60 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2011","Rural","60 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2011","Rural","70 km per hour","Collisions with 0 pedestrians",282,402,2
"January","2011","Rural","70 km per hour","Collisions with 1 pedestrian",8,8,0
"January","2011","Rural","70 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2011","Rural","70 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2011","Rural","80 km per hour","Collisions with 0 pedestrians",770,1102,19
"January","2011","Rural","80 km per hour","Collisions with 1 pedestrian",10,10,0
"January","2011","Rural","80 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2011","Rural","80 km per hour","Collisions with 3 or more pedestrians",1,2,0
"January","2011","Rural","90 km per hour","Collisions with 0 pedestrians",597,850,17
"January","2011","Rural","90 km per hour","Collisions with 1 pedestrian",6,16,1
"January","2011","Rural","90 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2011","Rural","90 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2011","Rural","100 km per hour","Collisions with 0 pedestrians",971,1405,24
"January","2011","Rural","100 km per hour","Collisions with 1 pedestrian",5,5,0
"January","2011","Rural","100 km per hour","Collisions with 2 pedestrians",2,4,1
"January","2011","Rural","100 km per hour","Collisions with 3 or more pedestrians",1,1,0
"January","2011","Rural","110 km per hour","Collisions with 0 pedestrians",116,157,1
"January","2011","Rural","110 km per hour","Collisions with 1 pedestrian",2,2,0
"January","2011","Rural","110 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2011","Rural","110 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2011","Rural","Unknown","Collisions with 0 pedestrians",118,147,3
"January","2011","Rural","Unknown","Collisions with 1 pedestrian",5,6,0
"January","2011","Rural","Unknown","Collisions with 2 pedestrians",2,4,0
"January","2011","Rural","Unknown","Collisions with 3 or more pedestrians",0,0,0
"January","2011","Unknown","Less than 40 km per hour","Collisions with 0 pedestrians",0,0,0
"January","2011","Unknown","Less than 40 km per hour","Collisions with 1 pedestrian",1,1,0
"January","2011","Unknown","Less than 40 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2011","Unknown","Less than 40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2011","Unknown","40 km per hour","Collisions with 0 pedestrians",0,0,0
"January","2011","Unknown","40 km per hour","Collisions with 1 pedestrian",1,1,0
"January","2011","Unknown","40 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2011","Unknown","40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2011","Unknown","50 km per hour","Collisions with 0 pedestrians",5,6,0
"January","2011","Unknown","50 km per hour","Collisions with 1 pedestrian",2,2,0
"January","2011","Unknown","50 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2011","Unknown","50 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2011","Unknown","60 km per hour","Collisions with 0 pedestrians",3,5,0
"January","2011","Unknown","60 km per hour","Collisions with 1 pedestrian",0,0,0
"January","2011","Unknown","60 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2011","Unknown","60 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2011","Unknown","70 km per hour","Collisions with 0 pedestrians",1,1,0
"January","2011","Unknown","70 km per hour","Collisions with 1 pedestrian",0,0,0
"January","2011","Unknown","70 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2011","Unknown","70 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2011","Unknown","80 km per hour","Collisions with 0 pedestrians",1,1,0
"January","2011","Unknown","80 km per hour","Collisions with 1 pedestrian",0,0,0
"January","2011","Unknown","80 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2011","Unknown","80 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2011","Unknown","90 km per hour","Collisions with 0 pedestrians",1,2,0
"January","2011","Unknown","90 km per hour","Collisions with 1 pedestrian",0,0,0
"January","2011","Unknown","90 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2011","Unknown","90 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2011","Unknown","100 km per hour","Collisions with 0 pedestrians",2,6,0
"January","2011","Unknown","100 km per hour","Collisions with 1 pedestrian",1,1,0
"January","2011","Unknown","100 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2011","Unknown","100 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2011","Unknown","110 km per hour","Collisions with 0 pedestrians",0,0,0
"January","2011","Unknown","110 km per hour","Collisions with 1 pedestrian",0,0,0
"January","2011","Unknown","110 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2011","Unknown","110 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2011","Unknown","Unknown","Collisions with 0 pedestrians",14,21,2
"January","2011","Unknown","Unknown","Collisions with 1 pedestrian",3,3,0
"January","2011","Unknown","Unknown","Collisions with 2 pedestrians",2,4,0
"January","2011","Unknown","Unknown","Collisions with 3 or more pedestrians",0,0,0
"January","2012","Urban","Less than 40 km per hour","Collisions with 0 pedestrians",61,75,1
"January","2012","Urban","Less than 40 km per hour","Collisions with 1 pedestrian",22,22,0
"January","2012","Urban","Less than 40 km per hour","Collisions with 2 pedestrians",1,2,0
"January","2012","Urban","Less than 40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2012","Urban","40 km per hour","Collisions with 0 pedestrians",204,242,0
"January","2012","Urban","40 km per hour","Collisions with 1 pedestrian",72,77,1
"January","2012","Urban","40 km per hour","Collisions with 2 pedestrians",4,8,0
"January","2012","Urban","40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2012","Urban","50 km per hour","Collisions with 0 pedestrians",3166,4299,9
"January","2012","Urban","50 km per hour","Collisions with 1 pedestrian",561,569,9
"January","2012","Urban","50 km per hour","Collisions with 2 pedestrians",41,63,0
"January","2012","Urban","50 km per hour","Collisions with 3 or more pedestrians",15,30,0
"January","2012","Urban","60 km per hour","Collisions with 0 pedestrians",1085,1557,4
"January","2012","Urban","60 km per hour","Collisions with 1 pedestrian",97,93,4
"January","2012","Urban","60 km per hour","Collisions with 2 pedestrians",6,11,0
"January","2012","Urban","60 km per hour","Collisions with 3 or more pedestrians",2,2,0
"January","2012","Urban","70 km per hour","Collisions with 0 pedestrians",248,353,5
"January","2012","Urban","70 km per hour","Collisions with 1 pedestrian",8,9,0
"January","2012","Urban","70 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2012","Urban","70 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2012","Urban","80 km per hour","Collisions with 0 pedestrians",127,169,0
"January","2012","Urban","80 km per hour","Collisions with 1 pedestrian",0,0,0
"January","2012","Urban","80 km per hour","Collisions with 2 pedestrians",1,2,0
"January","2012","Urban","80 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2012","Urban","90 km per hour","Collisions with 0 pedestrians",67,99,0
"January","2012","Urban","90 km per hour","Collisions with 1 pedestrian",3,3,0
"January","2012","Urban","90 km per hour","Collisions with 2 pedestrians",2,1,1
"January","2012","Urban","90 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2012","Urban","100 km per hour","Collisions with 0 pedestrians",92,129,1
"January","2012","Urban","100 km per hour","Collisions with 1 pedestrian",2,3,0
"January","2012","Urban","100 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2012","Urban","100 km per hour","Collisions with 3 or more pedestrians",3,6,1
"January","2012","Urban","110 km per hour","Collisions with 0 pedestrians",12,13,0
"January","2012","Urban","110 km per hour","Collisions with 1 pedestrian",0,0,0
"January","2012","Urban","110 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2012","Urban","110 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2012","Urban","Unknown","Collisions with 0 pedestrians",481,608,1
"January","2012","Urban","Unknown","Collisions with 1 pedestrian",96,98,0
"January","2012","Urban","Unknown","Collisions with 2 pedestrians",11,15,0
"January","2012","Urban","Unknown","Collisions with 3 or more pedestrians",1,1,0
"January","2012","Rural","Less than 40 km per hour","Collisions with 0 pedestrians",11,15,0
"January","2012","Rural","Less than 40 km per hour","Collisions with 1 pedestrian",0,0,0
"January","2012","Rural","Less than 40 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2012","Rural","Less than 40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2012","Rural","40 km per hour","Collisions with 0 pedestrians",13,17,0
"January","2012","Rural","40 km per hour","Collisions with 1 pedestrian",0,0,0
"January","2012","Rural","40 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2012","Rural","40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2012","Rural","50 km per hour","Collisions with 0 pedestrians",160,227,2
"January","2012","Rural","50 km per hour","Collisions with 1 pedestrian",12,14,0
"January","2012","Rural","50 km per hour","Collisions with 2 pedestrians",3,4,1
"January","2012","Rural","50 km per hour","Collisions with 3 or more pedestrians",1,3,0
"January","2012","Rural","60 km per hour","Collisions with 0 pedestrians",77,109,5
"January","2012","Rural","60 km per hour","Collisions with 1 pedestrian",1,1,0
"January","2012","Rural","60 km per hour","Collisions with 2 pedestrians",1,2,0
"January","2012","Rural","60 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2012","Rural","70 km per hour","Collisions with 0 pedestrians",271,395,2
"January","2012","Rural","70 km per hour","Collisions with 1 pedestrian",7,6,1
"January","2012","Rural","70 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2012","Rural","70 km per hour","Collisions with 3 or more pedestrians",2,2,0
"January","2012","Rural","80 km per hour","Collisions with 0 pedestrians",806,1120,17
"January","2012","Rural","80 km per hour","Collisions with 1 pedestrian",16,16,1
"January","2012","Rural","80 km per hour","Collisions with 2 pedestrians",1,1,1
"January","2012","Rural","80 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2012","Rural","90 km per hour","Collisions with 0 pedestrians",527,719,25
"January","2012","Rural","90 km per hour","Collisions with 1 pedestrian",2,4,0
"January","2012","Rural","90 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2012","Rural","90 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2012","Rural","100 km per hour","Collisions with 0 pedestrians",790,1130,16
"January","2012","Rural","100 km per hour","Collisions with 1 pedestrian",9,12,0
"January","2012","Rural","100 km per hour","Collisions with 2 pedestrians",1,1,0
"January","2012","Rural","100 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2012","Rural","110 km per hour","Collisions with 0 pedestrians",64,95,2
"January","2012","Rural","110 km per hour","Collisions with 1 pedestrian",2,2,1
"January","2012","Rural","110 km per hour","Collisions with 2 pedestrians",1,2,0
"January","2012","Rural","110 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2012","Rural","Unknown","Collisions with 0 pedestrians",99,120,1
"January","2012","Rural","Unknown","Collisions with 1 pedestrian",5,6,0
"January","2012","Rural","Unknown","Collisions with 2 pedestrians",1,2,0
"January","2012","Rural","Unknown","Collisions with 3 or more pedestrians",1,0,1
"January","2012","Unknown","Less than 40 km per hour","Collisions with 0 pedestrians",1,1,0
"January","2012","Unknown","Less than 40 km per hour","Collisions with 1 pedestrian",0,0,0
"January","2012","Unknown","Less than 40 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2012","Unknown","Less than 40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2012","Unknown","40 km per hour","Collisions with 0 pedestrians",0,0,0
"January","2012","Unknown","40 km per hour","Collisions with 1 pedestrian",0,0,0
"January","2012","Unknown","40 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2012","Unknown","40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2012","Unknown","50 km per hour","Collisions with 0 pedestrians",9,12,1
"January","2012","Unknown","50 km per hour","Collisions with 1 pedestrian",3,3,0
"January","2012","Unknown","50 km per hour","Collisions with 2 pedestrians",1,1,0
"January","2012","Unknown","50 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2012","Unknown","60 km per hour","Collisions with 0 pedestrians",3,6,0
"January","2012","Unknown","60 km per hour","Collisions with 1 pedestrian",0,0,0
"January","2012","Unknown","60 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2012","Unknown","60 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2012","Unknown","70 km per hour","Collisions with 0 pedestrians",3,3,0
"January","2012","Unknown","70 km per hour","Collisions with 1 pedestrian",0,0,0
"January","2012","Unknown","70 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2012","Unknown","70 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2012","Unknown","80 km per hour","Collisions with 0 pedestrians",5,5,0
"January","2012","Unknown","80 km per hour","Collisions with 1 pedestrian",0,0,0
"January","2012","Unknown","80 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2012","Unknown","80 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2012","Unknown","90 km per hour","Collisions with 0 pedestrians",6,9,0
"January","2012","Unknown","90 km per hour","Collisions with 1 pedestrian",0,0,0
"January","2012","Unknown","90 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2012","Unknown","90 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2012","Unknown","100 km per hour","Collisions with 0 pedestrians",5,11,0
"January","2012","Unknown","100 km per hour","Collisions with 1 pedestrian",0,0,0
"January","2012","Unknown","100 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2012","Unknown","100 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2012","Unknown","110 km per hour","Collisions with 0 pedestrians",1,1,0
"January","2012","Unknown","110 km per hour","Collisions with 1 pedestrian",1,1,0
"January","2012","Unknown","110 km per hour","Collisions with 2 pedestrians",0,0,0
"January","2012","Unknown","110 km per hour","Collisions with 3 or more pedestrians",0,0,0
"January","2012","Unknown","Unknown","Collisions with 0 pedestrians",6,8,0
"January","2012","Unknown","Unknown","Collisions with 1 pedestrian",2,2,0
"January","2012","Unknown","Unknown","Collisions with 2 pedestrians",0,0,0
"January","2012","Unknown","Unknown","Collisions with 3 or more pedestrians",1,1,0
"January","2013","Urban","Less than 40 km per hour","Collisions with 0 pedestrians",66,78,1
"January","2013","Urban","Less than 40 km per hour","Collisions with 1 pedestrian",28,27,1
